iso3,region,sub_region,year,population,urban_pct,urban_pop_mn,gdp_pc_ppp_const2021,gdp_ppp_bn,gdp_growth_pct,gfcf_pct_gdp,coal_prod_twh,population_imputed,urban_pct_imputed,gdp_pc_ppp_const2021_imputed,gdp_growth_pct_imputed,gfcf_pct_gdp_imputed,coal_prod_twh_imputed,copper_usd_t_real2010,ironore_usd_dmtu_real2010,coal_aus_usd_t_real2010,gold_usd_oz_real2010
EGY,アフリカ,アフリカ,2025,118365995.0,42.9043204925248,50.784125848965886,17265.1488604617,2043.6065236916652,4.39201068570188,11.705318644479,0.0,0,0,0,0,0,1,8568,86.3,93.4,2964
ESP,欧州,欧州,1995,40052733.0,75.588297274636,30.275178886656235,33501.7314182929,1341.8359035345966,2.75749400293542,21.8968015834563,113.206,0,0,0,0,0,0,3194,30.9,42.8,418
ESP,欧州,欧州,1996,40237375.0,75.6972244638181,30.45857607209823,34232.3786868602,1377.4210583652014,2.60741117110229,21.6960564152279,111.799,0,0,0,0,0,0,2545,33.3,42.2,430
ESP,欧州,欧州,1997,40423823.0,75.804258976453,30.642979475102972,35312.0862854389,1427.4495257633096,3.58729972356299,22.1386166086352,112.02,0,0,0,0,0,0,2650,35.1,40.8,385
ESP,欧州,欧州,1998,40617436.0,75.9145056905294,30.83452576356714,36679.0942334698,1489.8107625659284,4.30197745333581,23.283395642947,107.438,0,0,0,0,0,0,2013,37.7,35.6,358
ESP,欧州,欧州,1999,40812855.0,76.0330694840356,31.031266400568697,38141.316878689,1556.6560352789868,4.40886545305924,24.7406937010493,99.855,0,0,0,0,0,0,1952,34.2,32.1,346
ESP,欧州,欧州,2000,41019772.0,76.1650552349602,31.24273200105474,39945.8971298178,1638.5715926005805,5.20064125553942,25.9726762707912,97.006,0,0,0,0,0,0,2279,36.2,33.0,351
ESP,欧州,欧州,2001,41245602.0,76.3156889510385,31.476865328303315,41224.2924057393,1700.3207572987458,3.91908880808811,25.9006959047475,91.447,0,0,0,0,0,0,2061,39.2,42.2,354
ESP,欧州,欧州,2002,41755703.0,76.4934217249538,31.940365990009187,41766.0378188791,1743.9702706518835,2.75545611564098,26.1773351970806,89.365,0,0,0,0,0,0,2061,38.7,33.4,410
ESP,欧州,欧州,2003,42506540.0,76.709335590859,32.60648441666272,42223.130174522,1794.7591716885263,2.9392895953076,27.1239081928981,83.085,0,0,0,0,0,0,2235,40.1,32.8,457
